gameid,line,spread,OU,favorite,provider,update_time
401671684,BUF -2.5,2.5,40.5,Away,ESPN BET,20241009.105241
401671684,BUF -2,2.0,41.5,Away,ESPN Bet - Live Odds,20241009.105241
