team_name,team_id,position,week,total,year
Sea,26,QB,2,10.56,2024
Sea,26,QB,1,11.02,2024
Sea,26,QB,3,8.040000000000001,2024
TB,27,QB,5,34.36,2024
TB,27,QB,0,106.96000000000001,2024
TB,27,QB,4,16.32,2024
TB,27,QB,3,19.34,2024
TB,27,QB,2,8.780000000000001,2024
TB,27,QB,1,28.16,2024
Wsh,28,QB,3,25.36,2024
Wsh,28,QB,2,18.32,2024
Wsh,28,QB,0,91.86,2024
Wsh,28,QB,5,8.74,2024
Wsh,28,QB,4,9.98,2024
Wsh,28,QB,1,29.46,2024
Car,29,QB,0,92.98,2024
Car,29,QB,1,21.3,2024
Car,29,QB,4,16.28,2024
Car,29,QB,3,21.240000000000002,2024
Car,29,QB,2,11.0,2024
Car,29,QB,5,23.16,2024
Jax,30,QB,0,115.46,2024
Jax,30,QB,1,18.619999999999997,2024
Jax,30,QB,2,15.84,2024
Jax,30,QB,4,23.5,2024
Jax,30,QB,5,26.56,2024
Jax,30,QB,3,30.94,2024
Bal,33,QB,0,99.10000000000001,2024
Bal,33,QB,1,15.14,2024
Bal,33,QB,2,12.940000000000001,2024
Bal,33,QB,5,33.78,2024
Bal,33,QB,3,29.86,2024
Bal,33,QB,4,7.380000000000001,2024
Hou,34,QB,5,14.64,2024
Hou,34,QB,0,86.08,2024
Hou,34,QB,3,23.240000000000002,2024
Hou,34,QB,4,14.76,2024
Hou,34,QB,1,26.080000000000002,2024
Hou,34,QB,2,7.36,2024
Atl,1,RB,4,28.8,2024
Atl,1,RB,5,15.200000000000001,2024
Atl,1,RB,0,91.80000000000001,2024
Atl,1,RB,2,18.200000000000003,2024
Atl,1,RB,1,14.2,2024
Atl,1,RB,3,15.400000000000002,2024
Buf,2,RB,5,27.4,2024
Buf,2,RB,1,32.7,2024
Buf,2,RB,0,171.5,2024
Buf,2,RB,2,33.3,2024
Buf,2,RB,3,14.600000000000001,2024
Buf,2,RB,4,63.5,2024
Chi,3,RB,0,120.30000000000001,2024
Chi,3,RB,3,34.1,2024
Chi,3,RB,5,22.8,2024
Chi,3,RB,2,14.8,2024
Chi,3,RB,1,25.6,2024
Chi,3,RB,4,23.0,2024
Cin,4,RB,3,24.5,2024
Cin,4,RB,1,23.4,2024
Cin,4,RB,0,115.5,2024
Cin,4,RB,4,29.700000000000003,2024
Cin,4,RB,5,20.1,2024
Cin,4,RB,2,17.8,2024
Cle,5,RB,0,106.4,2024
Cle,5,RB,5,35.9,2024
Cle,5,RB,3,22.8,2024
Cle,5,RB,2,17.4,2024
Cle,5,RB,4,9.0,2024
Cle,5,RB,1,21.3,2024
Dal,6,RB,0,129.60000000000002,2024
Dal,6,RB,4,8.0,2024
Dal,6,RB,5,12.0,2024
Dal,6,RB,3,37.800000000000004,2024
Dal,6,RB,2,47.9,2024
Dal,6,RB,1,23.9,2024
Den,7,RB,0,101.7,2024
Den,7,RB,2,16.8,2024
Den,7,RB,5,24.2,2024
Den,7,RB,1,31.0,2024
Den,7,RB,3,20.3,2024
Den,7,RB,4,9.4,2024
Det,8,RB,4,44.0,2024
Det,8,RB,0,70.5,2024
Det,8,RB,2,5.5,2024
Det,8,RB,1,16.0,2024
Det,8,RB,3,5.0,2024
GB,9,RB,0,109.8,2024
GB,9,RB,1,35.400000000000006,2024
GB,9,RB,2,18.400000000000002,2024
GB,9,RB,5,19.8,2024
GB,9,RB,3,16.0,2024
GB,9,RB,4,20.200000000000003,2024
Ten,10,RB,0,82.1,2024
Ten,10,RB,3,22.6,2024
Ten,10,RB,2,44.0,2024
Ten,10,RB,1,6.4,2024
Ten,10,RB,4,9.100000000000001,2024
Ind,11,RB,0,123.7,2024
Ind,11,RB,3,17.3,2024
Ind,11,RB,2,16.8,2024
Ind,11,RB,4,19.0,2024
Ind,11,RB,1,29.7,2024
Ind,11,RB,5,40.9,2024
KC,12,RB,0,71.9,2024
KC,12,RB,1,22.1,2024
KC,12,RB,4,11.100000000000001,2024
KC,12,RB,5,13.5,2024
KC,12,RB,2,8.8,2024
KC,12,RB,3,16.4,2024
LV,13,RB,0,133.7,2024
LV,13,RB,2,21.8,2024
LV,13,RB,3,38.900000000000006,2024
LV,13,RB,5,29.1,2024
LV,13,RB,1,26.700000000000003,2024
LV,13,RB,4,17.2,2024
LAR,14,RB,0,131.7,2024
LAR,14,RB,5,18.900000000000002,2024
LAR,14,RB,2,26.7,2024
LAR,14,RB,1,33.7,2024
LAR,14,RB,3,14.3,2024
LAR,14,RB,4,38.1,2024
Mia,15,RB,0,139.0,2024
Mia,15,RB,1,19.200000000000003,2024
Mia,15,RB,5,25.8,2024
Mia,15,RB,2,36.5,2024
Mia,15,RB,4,30.700000000000003,2024
Mia,15,RB,3,26.8,2024
Min,16,RB,5,10.5,2024
Min,16,RB,0,77.9,2024
Min,16,RB,2,22.3,2024
Min,16,RB,3,17.2,2024
Min,16,RB,1,13.4,2024
Min,16,RB,4,14.5,2024
NE,17,RB,1,19.4,2024
NE,17,RB,0,119.60000000000001,2024
NE,17,RB,5,29.4,2024
NE,17,RB,2,17.9,2024
NE,17,RB,4,24.200000000000003,2024
NE,17,RB,3,28.7,2024
NO,18,RB,4,21.400000000000002,2024
NO,18,RB,0,103.60000000000001,2024
NO,18,RB,1,4.3,2024
NO,18,RB,3,36.8,2024
NO,18,RB,5,23.3,2024
NO,18,RB,2,17.8,2024
NYG,19,RB,2,26.1,2024
NYG,19,RB,0,104.80000000000001,2024
NYG,19,RB,5,20.6,2024
NYG,19,RB,1,26.900000000000002,2024
NYG,19,RB,3,10.5,2024
NYG,19,RB,4,20.700000000000003,2024
NYJ,20,RB,5,21.5,2024
NYJ,20,RB,0,94.0,2024
NYJ,20,RB,2,20.3,2024
NYJ,20,RB,1,28.200000000000003,2024
NYJ,20,RB,4,16.5,2024
NYJ,20,RB,3,7.5,2024
Phi,21,RB,0,85.1,2024
Phi,21,RB,1,19.2,2024
Phi,21,RB,2,23.7,2024
Phi,21,RB,3,16.6,2024
Phi,21,RB,4,25.6,2024
Ari,22,RB,1,17.7,2024
Ari,22,RB,0,125.9,2024
Ari,22,RB,4,40.7,2024
Ari,22,RB,5,11.000000000000002,2024
Ari,22,RB,2,19.0,2024
Ari,22,RB,3,37.5,2024
Pit,23,RB,0,88.60000000000001,2024
Pit,23,RB,1,18.2,2024
Pit,23,RB,2,16.0,2024
Pit,23,RB,4,20.6,2024
Pit,23,RB,5,24.5,2024
Pit,23,RB,3,9.3,2024
LAC,24,RB,0,77.9,2024
LAC,24,RB,1,20.8,2024
LAC,24,RB,4,17.5,2024
LAC,24,RB,2,17.1,2024
LAC,24,RB,3,22.5,2024
SF,25,RB,0,107.1,2024
SF,25,RB,2,18.0,2024
SF,25,RB,5,15.0,2024
SF,25,RB,4,20.6,2024
SF,25,RB,1,21.0,2024
SF,25,RB,3,32.5,2024
Sea,26,RB,4,34.8,2024
Sea,26,RB,0,111.80000000000001,2024
Sea,26,RB,5,20.400000000000002,2024
Sea,26,RB,2,28.500000000000004,2024
Sea,26,RB,1,11.8,2024
Sea,26,RB,3,16.3,2024
TB,27,RB,5,16.200000000000003,2024
TB,27,RB,0,117.60000000000001,2024
TB,27,RB,4,14.5,2024
TB,27,RB,3,21.5,2024
TB,27,RB,2,37.3,2024
TB,27,RB,1,28.1,2024
Wsh,28,RB,3,29.6,2024
Wsh,28,RB,2,14.700000000000001,2024
Wsh,28,RB,0,112.3,2024
Wsh,28,RB,5,15.100000000000001,2024
Wsh,28,RB,4,26.7,2024
Wsh,28,RB,1,26.200000000000003,2024
Car,29,RB,0,157.9,2024
Car,29,RB,1,35.2,2024
Car,29,RB,4,41.0,2024
Car,29,RB,3,20.1,2024
Car,29,RB,2,27.1,2024
Car,29,RB,5,34.5,2024
Jax,30,RB,0,136.4,2024
Jax,30,RB,1,30.3,2024
Jax,30,RB,2,15.000000000000002,2024
Jax,30,RB,4,22.5,2024
Jax,30,RB,5,27.0,2024
Jax,30,RB,3,41.6,2024
Bal,33,RB,0,90.2,2024
Bal,33,RB,2,15.1,2024
Bal,33,RB,1,18.1,2024
Bal,33,RB,5,24.6,2024
Bal,33,RB,3,19.2,2024
Bal,33,RB,4,13.200000000000001,2024
Hou,34,RB,5,20.8,2024
Hou,34,RB,0,92.2,2024
Hou,34,RB,3,27.1,2024
Hou,34,RB,4,16.0,2024
