team_name,team_id,position,rank,average,year
Cin,4,D,18,6.666666666666667,2023
Cle,5,D,28,10.333333333333334,2023
Dal,6,D,11,4.833333333333333,2023
Den,7,D,23,8.0,2023
Det,8,D,7,3.5714285714285716,2023
GB,9,D,17,6.5,2023
Ten,10,D,24,8.333333333333334,2023
Ind,11,D,13,6.0,2023
KC,12,D,3,2.7142857142857144,2023
LV,13,D,27,10.285714285714286,2023
LAR,14,D,8,4.0,2023
Mia,15,D,3,2.7142857142857144,2023
Min,16,D,16,6.428571428571429,2023
NE,17,D,30,12.0,2023
NO,18,D,19,6.714285714285714,2023
NYG,19,D,32,14.428571428571429,2023
NYJ,20,D,24,8.333333333333334,2023
Phi,21,D,8,4.0,2023
Ari,22,D,15,6.285714285714286,2023
Pit,23,D,21,7.5,2023
LAC,24,D,5,3.0,2023
SF,25,D,1,1.4285714285714286,2023
Sea,26,D,10,4.5,2023
TB,27,D,14,6.166666666666667,2023
Wsh,28,D,31,12.142857142857142,2023
Car,29,D,26,9.333333333333334,2023
Jax,30,D,19,6.714285714285714,2023
Bal,33,D,12,5.857142857142857,2023
Hou,34,D,2,2.5,2023
Atl,1,K,19,8.714285714285714,2023
Buf,2,K,9,7.285714285714286,2023
Chi,3,K,22,8.857142857142858,2023
Cin,4,K,23,9.166666666666666,2023
Cle,5,K,4,5.5,2023
Dal,6,K,1,4.833333333333333,2023
Den,7,K,27,9.714285714285714,2023
Det,8,K,8,6.714285714285714,2023
GB,9,K,18,8.666666666666666,2023
Ten,10,K,31,11.333333333333334,2023
Ind,11,K,32,12.285714285714286,2023
KC,12,K,2,5.142857142857143,2023
LV,13,K,11,7.571428571428571,2023
LAR,14,K,28,9.857142857142858,2023
Mia,15,K,19,8.714285714285714,2023
Min,16,K,15,8.428571428571429,2023
NE,17,K,29,10.142857142857142,2023
NO,18,K,16,8.571428571428571,2023
NYG,19,K,6,6.142857142857143,2023
NYJ,20,K,26,9.666666666666666,2023
Phi,21,K,3,5.428571428571429,2023
Ari,22,K,25,9.571428571428571,2023
Pit,23,K,10,7.333333333333333,2023
LAC,24,K,14,8.333333333333334,2023
SF,25,K,16,8.571428571428571,2023
Sea,26,K,12,7.666666666666667,2023
TB,27,K,21,8.833333333333334,2023
Wsh,28,K,30,11.0,2023
Car,29,K,13,8.0,2023
Jax,30,K,7,6.285714285714286,2023
Bal,33,K,24,9.285714285714286,2023
Hou,34,K,5,6.0,2023
